ID,GruenhornApotheke,AbcApotheke,HeliosApotheke,420BrokkoliApotheke,CannflosApotheke,GrueneblueteApotheke,Cannabisapo24Apotheke
32,CM 24/1 ICM,None,None,None,None,None,Cannamedical 24/1 ICM - Incredible Milk
33,CM 24/1 ZA: Zour Apple,None,None,CM 24/1 ZA,CM 24/1 ZRP,None,Cannamedical 24/1 ZA
34,CannabiStada 14/1: White Widow,None,Cannabistada 14/1  – White Widow,CannabiStada 14/1,Cannabistada 14/1,CannabiStada 14/1 (White Widow),CannabiStada 14/1
35,CannabiStada 20/1: Delahaze,None,Cannabistada 20/1 – Dela Haze,CannabiStada 20/1,Cannabistada 20/1,None,CannabiStada 20/1
36,Cannabistada 22/1: Gorilla Glue 4,None,Cannabistada 22/1 – Gorilla Glue #4,CannabiStada 22/1,Cannabistada 22/1,CannabiStada 22/1 (Gorilla Glue 4),CannabiStada 22/1
37,CannabiStada GAB 25,None,CannabiStada GAB 25 – Garlic Breath,Cannabistada GAB 25,Cannabistada 25/1,None,CannabiStada GAB 25
38,CannabiStada TRO 17,None,CannabiStada 17/1 TRO Tropicana Cookies,CannabiStada TRO 17,None,None,CannabiStada TRO 17
39,Cannabis 1A 18/1 flos: White Widow,None,None,Cannabis 1A 18/1,None,Cannabis 1A 18/1 Flos Weeco (White Widow),None
40,Cannabis Flos Weeco 23/1: Frosted Lemon Angel,None,None,Cannabis Flos WEECO 23/1,Weeco 23/1,Cannabis Flos Weeco 23/1 (Frosted Lemon Angel),Weeco 23/1
41,Cannabis Flos Weeco 25/1: Frosted Lemon Angel,Weeco 25/1,WEECO 25/1 – Frosted Lemon Angel,Cannabis Flos WEECO 25/1,None,Cannabis Flos Weeco 25/1 (Frosted Lemon Angel),Weeco 25/1
42,Cannabis flos 18/1 PT Ku. Mango DAB Canify,None,None,Cannabis flos 18/1 PT : Mango,None,Canify 18/1 Mango (Mango),None
43,Cannabis flos 18/1 PT Ku. Pink Kush DAB Canify,None,Canify Flos 18/1 PT – Pink Kush,Cannabis flos 18/1 PT : Pink Kush,Canify Flos 18/1 PT PK,None,Canify Flos 18/1 PT Pink Kush
44,Cannamedical Hybrid Classic NM: Gorilla Zkittlez,None,None,Cannamedical Hybrid classic NM: Gorilla Zkittlez,Cannamedical Hybrid Classic NM,Cannamedical Hybrid classic NM (Gorilla Zkittlez),Cannamedical Hybrid Classic NM Gorilla ZKittlez
45,Cannamedical Hybrid classic: Headband,None,Cannamedical Hybrid Classic – Headband,Cannamedical Hybrid classic: Headband,Cannamedical Hybrid classic,None,Cannamedical Hybrid Classic - Headband
46,Cannamedical Hybrid classic: Lost Cause,None,None,Cannamedical Hybrid Classic : Lost Cause,None,Cannamedical Hybrid classic (Lost Cause),Cannamedical Hybrid classic Lost Cause
47,Cannamedical Hybrid Forte PH: THC Bomb,None,None,Cannamedical Hybrid forte PH: THC Bomb,Cannamedical Hybrid Forte PH: THC Bomb,Cannamedical Hybrid forte PH (THC-Bomb),Cannamedical Hybrid forte PH
48,Cannamedical Indica Classic: Crazy Rntz,None,Cannamedical Indica Classic – Crazy Rntz,Cannamedical Indica classic: Crazy Rntz,Cannamedical Indica classic,Cannamedical Indica classic (Crazy Rntz),None
49,Cannamedical Indica Forte MA: Crazy Rntz,None,Cannamedical Indica Forte MA – Crazy Rntz,Cannamedical Indica forte MA: Crazy Rntz,None,None,None
50,Cannamedical Indica Forte MA: Tire Fire,None,Cannamedical Indica Forte MA – Tire Fire,Cannamedical Indica forte MA: Tire Fire,None,Cannamedical Indica forte MA (Tire Fire),Cannamedical Indica Forte MA - Tire Fire
51,Cannamedical Indica forte NG: Legendary Larry,None,Cannamedical Indica Forte NG – Legendary Larry,Cannamedical Indica Forte NG: Legendary Larry,Cannamedical Indica forte NG,Cannamedical Indica forte NG (Legendary Larry),Cannamedical Indica Forte NG
52,Cannamedical Indica Forte: El Jefe,None,Cannamedical Indica Forte – El Jefe,Cannamedical Indica forte: El Jefe,Cannamedical Indica forte,Cannamedical Indica forte (El Jefe),Cannamedical Indica forte El Jefe
53,Cannamedical Sativa Classic AU: Tangie Chem,None,Cannamedical Sativa Classic AU – Tangie Chem,Cannamedical Sativa Classic AU: Tangie Chem,Cannamedical Sativa classic AU,Cannamedical Sativa classic AU (Tangie Chem),Cannamedical Sativa classic AU - Tangie Chem
54,Cannamedical Sativa Classic: Strawberry Ice,None,Cannamedical Sativa Classic  – Strawberry Ice,Cannamedical Sativa classic: Strawberry Ice,Cannamedical Sativa classic,Cannamedical Sativa classic (Strawberry Ice),Cannamedical Sativa Classic - Strawberry Ice
55,Cannamedical Sativa Forte NM: Gelato Dream,None,None,Cannamedical Sativa forte NM: Gelato Dream,Cannamedical Sativa forte NM,Cannamedical Sativa forte NM (Gelato Dream),Cannamedical Sativa Forte NM
56,Cannamedical Sativa light: Strawberry Ice,None,Cannamedical Sativa Light – Strawberry Ice,Cannamedical Sativa light: Strawberry Ice,Cannamedical Sativa light,Cannamedical Sativa light (Strawberry Ice),None
57,Canopy LSK 16: Lemon Skunk,None,Red No. 2 – Lemon Skunk,Canopy LSK 16 (ehem. Red No. 2),Red No. 2,Canopy LSK 16 (Lemon Skunk),Canopy LSK 16
58,Canopy HSK 8/7: Skunk Haze,None,Spectrum Blue 8/7 – CBD Skunk Haze,None,None,Canopy HSK 8/7  (CBD Skunk Haze),Canopy HSK 8/7
59,Canopy Krypton 25: Captain Krypt OG,None,None,Canopy Krypton 25,Canopy Krypton 25/1,Canopy Krypton 25 (Chemdawg 91 x Captain Krypt OG),Canopy Krypton 25
60,Canopy AKH 22: Afghan Kush,None,Red No. 4 – Afghan Kush,Canopy AKH 22 (ehem. Red No. 4),Red No. 4,Canopy AKH 22 (Afghan Kush),Canopy AKH 22
61,Ceres No. 2: Slurricane Mint,Ceres No. 2,None,Ceres No. 2,Ceres No. 2,Ceres No. 2 (Slurricane Mint),Ceres No. 2
62,Demecan 22:01 Florestura: Super Haze X Amnesia,Demecan 22:01 Florestura,Demecan 22:01 Florestura – Super Haze x Amnesia,Demecan 22:01 Florestura,Demecan 22:01 Florestura,Demecan 22:01 Florestura (Super Haze X Amnesia),Demecan 22:01 Florestura
63,Demecan  24:01 Gasolime: Karel´s Haze,Demecan 24:01 Gasolime,Demecan 24:01 Gasolime – Karel’s Haze,Demecan 24:01 Gasolime,Demecan 24/1 Gazolime,Demecan 24:01 GASOLIME (Karel's Haze),Demecan 24:01 Gasolime
64,Demecan 25:01 GOG-K: Gelato OG,Demecan 25:01 GOG-K,None,Demecan 25:01 GOG-K,Demecan 25/1 GOG-K,Demecan 25:01 GOG-K (Gelato OG),Demecan 25:01 GOG-K
65,Demecan 27:01 Petaluma: Tally Man,Demecan 27:01 Petaluma,Demecan 27:01 Petaluma – Tally Man,Demecan 27:01 Petaluma,Demecan 27:01 Petaluma,Demecan 27:01 Petaluma (Tally Man),Demecan 27:01 Petaluma
66,Demecan Craft Tricolo 27:01: LA Kush Cake,None,None,Demecan 27:01 Tricolo,Demecan 27/1 Craft Tricolo,CRAFT TRICOLO 27:01 (LA Kush Cake),Demecan Craft Tricolo 27:01
67,Demecan CRAFT zoerO 22:01: Oreoz,None,Demecan 22:01 Craft zoer0 – Cookies & Cream x Secret Weapon,Demecan 22:01 Craft Zoero,Demecan CRAFT zoerO 22:01,CRAFT zoerO 22:01 (Oreoz (Cookies & Cream X Secret Weapon)),Demecan CRAFT zoer0 22:01
68,Drapalin 1/17: Maluti CBD,None,Drapalin 1/17 Maluti CBD – Otto Kush x ACDC,Drapalin 1/17 Maluti CBD,Drapalin 1/17 Maluti CBD,Drapalin 1/17 Maluti CBD (Maluti CBD),Drapalin 1/17 Maluti CBD
69,Drapalin 18/1: Cheesotho,None,None,Drapalin 18/1 Cheesotho,Drapalin 18/1 Cheesotto,Drapalin 18/1 Cheesotho (Exodus Cheese),Drapalin 18/1 Cheesotho
70,Drapalin 24/1: Bafokeng Choice,Drapalin 24/1,Drapalin 24/1 Bafokeng Choice – White Lemon [Marakabei Local],Drapalin 24/1 Bafokeng Choice,Drapalin 24/1 Bafokeng Fa,Drapalin 24/1 Bafokeng Choice (Bafokeng Choice),Drapalin 24/1 Bafokeng Choice local
71,Grünhorn CP 24/1,None,None,None,None,None,None
72,Grünhorn GG 22/1,None,None,None,None,None,None
73,Grünhorn MC 25/1,None,None,None,None,None,None
