ID,GruenhornApotheke,AbcApotheke,HeliosApotheke,420BrokkoliApotheke,CannflosApotheke,GrueneblueteApotheke,Cannabisapo24Apotheke
142,CannabiStada 17/1,None,Cannabistada 17/1 – Shiskaberry,CannabiStada 17/1,Cannabistada 17/1,None,CannabiStada 17/1
143,Cannabis flos 22/1 PT Ku. Mango DAB Canify,Cannabisflos Mango 22/1 PT,Canify Flos 22/1 PT – Mango,Cannabis flos 22/1 PT : Mango,None,None,None
144,Cannabis flos 22/1 PT Ku. Pink Kush DAB Canify,None,Canify Flos 22/1 PT – Pink Kush,Cannabis flos 22/1 PT : Pink Kush,None,None,None
145,Cannabis flos 22/1 PT Ku. Sirius DAB Canify,Cannabisflos Sirius 22/1 PT,Canify Flos 22/1 PT – Sirius,None,None,Canify 22/1 Sirius (Sirius),None
146,Cannamedical Balanced Classic: California Orange,None,None,Cannamedical Balanced classic: California Orange,Cannamedical Balanced classic,None,Cannamedical Balanced classic 8/8
147,Cannamedical Hybrid Forte NG: Dark side of the Moon,None,Cannamedical Hybrid Forte NG – Darkside of the Moon,Cannamedical Hybrid Forte NG: Dark side of the moon,None,Cannamedical Hybrid forte NG (Dark Side of the Moon),None
148,Cannamedical Hybrid Forte NG: Incredible Milk,None,Cannamedical Hybrid Forte NG – Incredible Milk,Cannamedical Hybrid Forte NG: Incredible Milk,Cannamedical Hybrid Forte NG,None,Cannamedical Hybrid forte NG - Incredible Milk
149,Cannamedical Hybrid classic: Chocolate Marshmallows,None,None,Cannamedical Hybrid classic: Chocolate Marshmallows,None,Cannamedical Hybrid classic (Chocolate Marshmallows),None
150,Cannamedical Hybrid forte: Chocolate Marshmallows,None,Cannamedical Hybrid Forte – Chocolate Marshmallows,Cannamedical Hybrid forte: Chocolate Marshmallows,Cannamedical Hybrid Forte CM,Cannamedical Hybrid forte (Chocolate Marshmallows),None
151,Cannamedical Hybrid forte: Lost Cause,None,Cannamedical Hybrid Forte – Lost Cause,Cannamedical Hybrid forte: Lost Cause,None,None,None
152,Cannamedical Indica ultra AU: El Jefe,None,None,None,None,Cannamedical Indica ultra AU (El Jefe),None
153,Cannamedical Sativa classic: Ghost Train Haze,None,None,None,Cannamedical Sativa classic,None,None
154,Cannamedical Sativa forte: Strawberry Ice,None,None,None,None,None,None
155,Cannamedical Sativa forte: Tangie Chem,None,Cannamedical Sativa Forte – Tangie Chem,Cannamedical Sativa forte: Tangie Chem,Cannamedical Sativa forte,Cannamedical Sativa forte (Tangie Chem),None
156,Cannamedical Sativa forte MA: Ghost Train Haze,None,None,None,Cannamedical Sativa forte MA,None,None
157,DEMECAN 24:01 Tricolo,None,Demecan 24:01 Tricolo – LA Kush Cake,Demecan 24:01 Tricolo,None,Demecan 24:01 Tricolo (LA Kush Cake),None
158,Drapalin 10/11 Batha Balanced,None,Drapalin 10/11 Batha Balanced – Bafokeng Choice x Granddaddy Purple,Drapalin 10/11 Batha Balanced,Drapalin 10/11 Batha Balance,Drapalin 10/11 Batha Balanced (Batha Balanced),None
159,IMC THC 21 T01: Hindu Kush,None,IMC 22/1 T01 – Hindu Kush,IMC THC22 T01,None,Cannabis Flos 22/1 IMC T01 (Hindu Kush),IMC THC22 T01
160,IMC T03,None,IMC 20/1 T03 – Gorilla Glue,IMC T03,None,None,None
161,IQANNA No.10,None,Iqanna No.10 – Wappa,IQANNA No.10,None,None,None
162,Khiron 1/14,None,Khiron 1/14 – Godbud,None,None,None,None
163,Khiron 20/1: Hindu Kush,Khiron 20/1,None,Khiron 20/1,None,Khiron 20/1 (Hindu Kush),None
164,Khiron C 5/7,Khiron 5/7 Karamel,None,None,Khiron C 5/7,Khiron C 5/7 (Caramel),None
165,Relecan Hybrid Strong,None,None,Relecan Hybrid Strong: Gorilla Glue,None,Relecan Hybrid Strong (Gorilla Glue),None
166,THC 22 Spotlight Porto: Galaxy Walker,None,Tilray THC22 Spotlight Porto – Galaxywalker OG,THC22 Spotlight Porto: Galaxy Walker,Tilray THC 22 Spotlight Porto,Tilray THC22 Spotlight Porto (Galaxy Walker),Tilray THC22 Spotlight Porto -  Galaxy Walker OG
167,Tilray THC 10 : CBD 10,None,None,None,None,None,None
168,Tilray THC 18 Indica No.4 Sirius,None,None,None,None,None,None
169,Tilray THC 18 Spotlight Porto: Blueberry,None,None,THC 18 Spotlight Porto : BlueBerry,None,None,Tilray THC18 Spotlight Porto Blueberry
170,Tilray THC22 Indica No. 4: Sirius,None,None,None,None,None,None
171,Tilray THC 22 Spotlight Porto: Blueberry,None,None,None,None,None,Tilray THC22 Spotlight Porto -  Blueberry
172,Tilray THC25 Spotlight Montevideo: Gorilla Glue,None,None,THC25 Spotlight Montevideo: Gorilla Glue,None,None,None
173,Tilray THC25 Spotlight Montevideo: Purple Dog Bud,None,Tilray THC25 Spotlight Vancouver – Purps,THC25 Spotlight Montevideo: Purple Dog Bud,None,None,None
174,Tilray THC 25 Spotlight Porto: Sirius,None,None,THC25 Spotlight Porto: Sirius,None,None,Tilray THC25 Spotlight Porto Sirius
175,Tilray THC25 Spotlight Porto: White Widow,None,None,THC25 Spotlight Porto: White Widow,None,Tilray THC25 Spotlight Porto (White Widow),None
176,None,Aphria Typ 1,Aphria Typ 1 – Jean Guy (Bienville),Typ 1 Aphria,Aphria Typ 1,None,None
177,None,Blackbird Strong Indica,None,Blackbird Strong Indica,Blackbird Indica Strong,Blackbird Strong Indica (Kerosene Krash),None
178,None,Blackbird Strong Sativa,None,Blackbird Strong Sativa,None,Blackbird Strong Sativa (Euforia),None
179,None,CanPharma Flos SK 26/1,None,None,None,None,None
180,None,Demecan 25:01 Calama,None,Demecan 25:01 Calama,None,None,Demecan 25:01 Calama
181,None,Together Pharma Glueberry OG,Together Pharma – Glueberry OG,None,None,None,None
182,420 Evolution 25/1 CA ICC,None,420 Evolution 25/1 CA ICC – Ice Cream Cake x Kush Mints,None,None,None,None
183,None,None,420 Natural 22/1 CA ZRP – Zour Apple,None,420 Natural Evolution 27/1 ZRP,None,None
184,None,None,Aphria Typ 2 – Great Bear,Typ 2 Aphria,Aphria Typ 2,None,None
185,None,None,Aphria Typ 3 – Churchill,Typ 3 Aphria,Aphria Typ 3,Med.-Cannabisbl. TYP 3 Aphria (Churchill),None
186,None,None,Aurora 1/12 DNK – Cannatonic,Aurora 1/12 DNK,Aurora 1/12,Aurora 1/12 DNK (Cannatonic),Aurora 1/12 DNK
187,None,None,Cannamedical Balanced Forte – Mango Haze,Cannamedical Balanced forte: Mango Haze,Cannamedical Balanced forte,Cannamedical Balanced forte (Mango Haze),None
188,None,None,Cannamedical Indica Classic – Kades Kush,None,None,None,None
189,None,None,Cannamedical Sativa Light – Ghost Train Haze,None,None,None,None
190,None,None,Demecan 20:01 Florestura – Super Haze x Amnesia,None,None,None,None
191,None,None,Fotmer T3H  – Purple Dog Bud,None,None,None,None
192,None,None,Fotmer T3s – Red Dragon OG,Fotmer T3s,None,Fotmer T3s (Red Dragon OG),None
193,None,None,Tilray Hybrid THC Strong – Gorilla Glue,None,None,None,None
194,None,None,Tilray Indica THC Medium – Cheese Quake,None,None,None,None
195,None,None,Tilray Indica THC Strong – Purple Dog Bud,None,None,None,None
196,None,None,Tilray THC10:CBD10 #1 – Warlock,None,None,None,None
197,None,None,enua 30/1 CCK CA – Cold Creek Kush,None,None,None,None
198,None,None,None,ADREX 22/1 CAN,None,Cannabis ADREX 22/1 CAN (Gorilla Glue 4),Adrex 22/1 CAN
199,None,None,None,AVAAY 20/1 Royal Gorilla,None,None,AVAAY 20/1 RG - Royal Gorilla
200,None,None,None,Relecan Indica Strong: Peyote Critical,Relecan Indica Strong,Relecan Indica Strong (Peyote Critical),None
201,None,None,None,Tilray THC9:CBD9 No.2,None,None,Tilray THC9:CBD9 No 2
202,None,None,None,Together Pharma Cassiopeia,None,None,None
203,None,None,None,THC 18 Spotlight Porto: Lemon Sour Diesel,None,None,None
204,Tilray THC 25 Spotlight Porto: Mango,None,None,THC25 Spotlight Porto: Mango,None,None,Tilray THC25 Spotlight Porto Mango
205,Pedanios 8/8: Equiposa,None,None,Pedanios 8/8 DNK,None,Aurora Pedanios 8/8 DNK (Equiposa),Pedanios 8/8 DNK
206,None,None,None,CannabiStada 19/1,Cannabistada 19/1,None,None
207,None,None,None,Cannabis Flos 17/1,None,None,None
208,None,None,None,Cannabis Flos 20/1,None,None,None
209,None,None,None,Demecan 22:01 Calama,None,None,None
210,None,None,None,CM 20/1: Dave's Kush,None,None,Cannamedical 20/1
211,None,None,NoneNone,None,None,None,None
212,None,None,None,Cannamedical Sunshine Coast: Eve,None,None,None
213,None,None,None,None,AMP 25/1 classic,AMP Classic 25/1 (Frosted Lemon Angel),AMP 25/1 Classic
214,None,None,None,None,None,Cannabis ADREX 17/1 CAN (Shishkaberry),Adrex 17/1 CAN
215,None,None,None,None,None,None,CanPharma Flos A 17/1
216,CM 24/1 LLY: Legendary Larry,None,None,None,None,None,None
217,420 Evolution 27/1 CA: WES,None,None,420 Evolution 27/1 CA WES,None,420 Evolution 27/1 CA WES,420 Evolution 27/1 CA WES
218,Cannamedical Indica Ultra: Crazy Rntz,None,None,None,None,None,Cannamedical Indica ultra
219,MAC 2+: Black Garlic,None,None,None,MAC 2+,None,None
220,BG MI: God Bud,BG MI,None,BG MI,BG MI,None,BG MI - God Bud
221,Tilray THC 22 Spotlight Porto: Sour Diesel,None,None,THC22 Spotlight Porto: Sour Diesel,None,None,Tilray THC22 Spotlight Porto - Sour Diesel
222,Avaay 26/1 GLX: Galaxy,None,None,None,None,None,AVAAY 26/1 GLX - Galaxy
223,C&C Cannabis 23/1: Frosted Lemon Angel,None,None,None,None,None,None
224,CannabiStada GAB 30: Garlic Breath,None,None,None,Cannabistada 30/1,None,None
225,Avaay 22/1 BCP: Black Cherry Punch,None,None,None,Avaay 22/1 BCP,AVAAY 22/1 BCP (Black Cherry Punch),None
226,Cannamedical Hybrid Forte: Gorilla Mints,None,None,None,Cannamedical Hybrid Forte GM,None,None
227,Pure Sunfarms 20/1: Pink Kush,None,None,None,Pure Sunfarm 20/1,Pure Sunfarms 20/1 (Pink Kush),Pure Sunfarms 20/1
228,Remexian 22/1: APX,None,None,None,Remexian 22/1 APX,None,Remexian 22/1 APX
229,Beacon I-Hybrid THC 22: Wappa,None,None,None,None,None,None
230,Grow 18 HF Mac: Hellfire,None,None,None,None,None,GROW 18 HF Mac
231,MediproCan Smarargd 22/1: La SAGE T22,None,None,None,None,None,mediprocan Smaragd 22/1
232,Remexian 20/1: Nordle,None,None,None,Remexian 20/1,None,Remexian 20/1 - Nordle
233,None,None,None,None,None,None,Remexian 22/1
234,None,None,None,Therismos 22/1 DSM,Therismos 22/1 DSM,Therismos 22/1 DSM (Dark Side of the Moon),None
235,None,None,None,None,RE Cannis 16/1 Sativa,Re Cannis 16/1 (Alaska),None
236,None,None,None,None,RE Cannis 21/1 Indica,Re Cannis 21/1 (Erez),None
237,None,None,None,None,RE Cannis 9.5/10.5 Hybrid,Re Cannis 9.5/10.5 (Midnight),None
238,None,None,None,None,Hapa pharm 20/1,None,None
239,None,None,None,None,None,Re Cannis 1/15 (Avidekel),None
240,None,None,None,None,None,CanPharma Flos 1/14 (N/A),None
241,None,None,None,None,None,CanPharma Flos 20/1 (N/A),None
242,None,None,None,None,None,CanPharma Flos A 19/1 (Gorilla Glue 4),None
243,None,None,None,None,None,CanPharma Flos A 22/1 (Gorilla Glue 4),CanPharma Flos A 22/1
244,None,None,None,None,None,Canopy GDB 12 (God Bud 2),Canopy GDB 12
245,None,None,None,None,None,Cannabis ADREX 24/1 flos SK CAN (Sour Kush),None
246,Grünhorn CP 24/1: Cherry Pie,None,None,None,None,None,None
247,Grünhorn GG 22/1: GG,None,None,None,None,None,None
248,Grünhorn MC 25/1: MAC 1,None,None,None,None,None,None
249,None,None,None,None,None,Tilray THC22 Spotlight Porto (Master Kush),None
250,None,None,None,None,None,None,Demecan Craft Black Triangle 27:01
